tema,tipo_institucional,total
Documentário e registro histórico,Federal archive with film archive holdings,130
Registro audiovisual em catálogo,Federal archive with film archive holdings,37
Ficção cinematográfica,Federal archive with film archive holdings,9
Animação,Federal archive with film archive holdings,1
