tema,tipo_institucional,total
Registro audiovisual de acervo televisivo,Broadcast audiovisual archive,354
"Cotidiano, território e sociedade",Broadcast audiovisual archive,135
Programação televisiva e memória da mídia,Broadcast audiovisual archive,95
"Vida pública, política e história",Broadcast audiovisual archive,94
"Artes, cultura e entretenimento",Broadcast audiovisual archive,41
"Tecnologia, ciência e inovação",Broadcast audiovisual archive,40
Esporte e cultura física,Broadcast audiovisual archive,36
Música e cultura popular,Broadcast audiovisual archive,22
