tema,plataforma,total
"Cinejornal, atualidades e história pública",Filmarchiv ON,174
Preservação e memória fílmica,Filmarchiv ON,161
"Cotidiano, território e memória local",Filmarchiv ON,153
Ficção cinematográfica,Filmarchiv ON,32
Patrimônio fílmico austríaco,Filmarchiv ON,9
