tema,plataforma,total
Comunicação institucional,American Archive of Public Broadcasting,16
Formação e mediação,American Archive of Public Broadcasting,8
História e pesquisa,American Archive of Public Broadcasting,2
Divulgação de serviços e projetos,American Archive of Public Broadcasting,1
Música e performance,American Archive of Public Broadcasting,1
