institution,slug,country,continent,repository_code,archive_type,bnfa_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/search-efg/bnfa?page=11%2C0%2C0,ok,200,8,8,Página 12 da coleção BNFA no European Film Gateway; 168 resultados de vídeo anunciados.,
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/search-efg/bnfa?page=12%2C0%2C0,ok,200,8,8,Página 13 da coleção BNFA no European Film Gateway; 168 resultados de vídeo anunciados.,
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/search-efg/bnfa?page=13%2C0%2C0,ok,200,8,8,Página 14 da coleção BNFA no European Film Gateway; 168 resultados de vídeo anunciados.,
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/search-efg/bnfa?page=14%2C0%2C0,ok,200,8,8,Página 15 da coleção BNFA no European Film Gateway; 168 resultados de vídeo anunciados.,
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/search-efg/bnfa?page=15%2C0%2C0,ok,200,8,8,Página 16 da coleção BNFA no European Film Gateway; 168 resultados de vídeo anunciados.,
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/search-efg/bnfa?page=16%2C0%2C0,ok,200,8,8,Página 17 da coleção BNFA no European Film Gateway; 168 resultados de vídeo anunciados.,
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/search-efg/bnfa?page=17%2C0%2C0,ok,200,8,8,Página 18 da coleção BNFA no European Film Gateway; 168 resultados de vídeo anunciados.,
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/search-efg/bnfa?page=18%2C0%2C0,ok,200,8,8,Página 19 da coleção BNFA no European Film Gateway; 168 resultados de vídeo anunciados.,
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/search-efg/bnfa?page=19%2C0%2C0,ok,200,8,8,Página 20 da coleção BNFA no European Film Gateway; 168 resultados de vídeo anunciados.,
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/search-efg/bnfa?page=20%2C0%2C0,ok,200,8,8,Página 21 da coleção BNFA no European Film Gateway; 168 resultados de vídeo anunciados.,
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/detail/%D0%9F%D0%A0%D0%95%D0%93%D0%9B%D0%95%D0%94%D0%AA%20152/bnfa::de5e45db3c8b1eed452f1a0138765d70,ok,200,1,1,"Ficha pública de vídeo da BNFA no EFG, com metadados audiovisuais e shell de player quando sinalizado.",
