tema,plataforma,total
"Documentário, cotidiano e memória local",BFI Replay,385
"Vida pública, política e história",BFI Replay,255
Ficção cinematográfica,BFI Replay,35
Registro audiovisual em arquivo fílmico,BFI Replay,8
Publicidade e comunicação pública,BFI Replay,7
"Artes, música e experimentação",BFI Replay,6
Animação,BFI Replay,4
"Entrevista, debate e memória cinematográfica",BFI Replay,1
Esporte e cultura física,BFI Replay,1
