tema,pais,total
"Cinejornal, atualidades e história pública",Estonia,2569
Documentário e registro histórico,Estonia,556
Animação,Estonia,327
Ficção cinematográfica,Estonia,203
Patrimônio fílmico estoniano,Estonia,90
Publicidade e cultura comercial,Estonia,50
"Cinema experimental, curta e formação",Estonia,44
