tema,tipo_institucional,total
"Entrevista, debate e memória cinematográfica",Film institute and museum with public film portal,20
Trailer e divulgação cinematográfica,Film institute and museum with public film portal,11
Trecho de filme e patrimônio cinematográfico,Film institute and museum with public film portal,1
