tema,tipo_institucional,total
"Território, cidade e cotidiano",Institutional audiovisual archive,77
"Cultura, artes e espetáculos",Institutional audiovisual archive,34
Esporte e automobilismo,Institutional audiovisual archive,32
Vida pública e política,Institutional audiovisual archive,30
