code,label,short_label,category_code,category_label,entity_level,coverage_level,scope,geographic_scope,audiovisual_relevance,methodological_fit,discovery_origin,source_url,already_covered_by_active_aggregator,audiovisual_probe_status,audiovisual_probe_hits,audiovisual_probe_urls,organism_status,automatic_decision,automatic_priority,automatic_reason,next_step,rule_version
archivegrid,ArchiveGrid,ArchiveGrid,aggregator,Agregadores arquivísticos,infraestrutura agregadora,agregador mundial,portal geral de arquivos,mundial,fonte geral com potencial audiovisual,muito_alto,linha de base metodológica do organismo,https://researchworks.oclc.org/archivegrid/about/,False,sem_evidencia_audiovisual_na_sondagem,,https://researchworks.oclc.org/archivegrid/about/,protocolado,monitoramento_protocolado_sem_incorporacao,6,"A unidade foi identificada e protocolada, mas permanece fora do corpus ativo até existir rota técnica estável de coleta comparável.",manter_aba_de_protocolo_e_retestar_rota_em_ciclo_futuro,2026-05-organismo-v1
archives-hub,Archives Hub,Archives Hub,aggregator,Agregadores arquivísticos,infraestrutura agregadora,agregador nacional,portal geral de arquivos,Reino Unido,fonte geral com potencial audiovisual,alto,linha de base metodológica do organismo,https://archiveshub.jisc.ac.uk/,False,falha_na_sondagem,,https://archiveshub.jisc.ac.uk/,protocolado,monitoramento_protocolado_sem_incorporacao,6,"A unidade foi identificada e protocolada, mas permanece fora do corpus ativo até existir rota técnica estável de coleta comparável.",manter_aba_de_protocolo_e_retestar_rota_em_ciclo_futuro,2026-05-organismo-v1
francearchives,FranceArchives,FranceArchives,aggregator,Agregadores arquivísticos,infraestrutura agregadora,agregador nacional,portal geral de arquivos,França,fonte geral com potencial audiovisual,alto,linha de base metodológica do organismo,https://francearchives.gouv.fr/,False,sem_evidencia_audiovisual_na_sondagem,,https://francearchives.gouv.fr/,protocolado,monitoramento_protocolado_sem_incorporacao,6,"A unidade foi identificada e protocolada, mas permanece fora do corpus ativo até existir rota técnica estável de coleta comparável.",manter_aba_de_protocolo_e_retestar_rota_em_ciclo_futuro,2026-05-organismo-v1
iberarchivos,Iberarchivos / Observatorio Iberoamericano de Archivos,Iberarchivos,aggregator,Agregadores arquivísticos,rede/observatorio de políticas arquivísticas,rede ibero-americana,observatório de políticas públicas arquivísticas,Iberoamérica,fonte geral com potencial audiovisual indireto,medio,radar audiovisual mundial - sugestão de curadoria,https://iberarchivos.org/observatorio/,False,evidencia_audiovisual_detectada,audiovisual; audiovisuales; fílmico; video; vídeo,https://iberarchivos.org/observatorio/; https://iberarchivos.org/?s=audiovisual; https://iberarchivos.org/?s=video,protocolado,monitoramento_protocolado_sem_incorporacao,6,"A unidade foi protocolada como fonte de radar e curadoria, mas não como corpus porque não apresenta catálogo audiovisual coletável e comparável.",manter_aba_de_protocolo_e_usar_como_fonte_de_descoberta,2026-05-organismo-v1
