institution,slug,country,continent,repository_code,archive_type,csc_cineteca_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,https://www.fondazionecsc.it/film/effetto-notte-2023-intervista-a-francesca-calvelli/,ok,200,1,1,Ficha pública do Catalogo video verificada sem baixar mídia.,
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,https://www.fondazionecsc.it/film/per-la-serie-di-video-sulla-mostra-dedicata-a-mario-monicelli-alla-casa-del-cinema-franco-montini-introdotto-da-alberto-crespi-ci-parla-di-parenti-serpenti-e-guardie-e-ladri/,ok,200,1,1,Ficha pública do Catalogo video verificada sem baixar mídia.,
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,https://www.fondazionecsc.it/film/ancora-in-occasione-della-serie-di-video-proposti-per-la-mostra-su-monicelli-alla-casa-del-cinema-oggi-rivediamo-mario-monicelli-in-una-presentazione-del-2005-proprio-alla-casa-del-cinema/,ok,200,1,1,Ficha pública do Catalogo video verificada sem baixar mídia.,
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,https://www.fondazionecsc.it/film/il-csc-archivio-nazionale-cinema-impresa-festeggia-la-giornata-dedicata-a-dante-alighieri-il-25-marzo-con-la-messa-on-line-dello-spettacolo-il-paradiso-perche-mi-vinse-il-lume-desta-stella/,ok,200,1,1,Ficha pública do Catalogo video verificada sem baixar mídia.,
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,https://www.fondazionecsc.it/film/servizio-su-cinecensura-del-tg2-nella-rubrica-weekend-27-febbraio-2021/,ok,200,1,1,Ficha pública do Catalogo video verificada sem baixar mídia.,
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,https://www.fondazionecsc.it/film/presentazione-on-line-della-riedizione-di-cinecitta-anni-trenta-di-francesco-savio/,ok,200,1,1,Ficha pública do Catalogo video verificada sem baixar mídia.,
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,https://www.fondazionecsc.it/film/per-la-nostra-serie-di-illustri-commenti-alla-mostra-dedicata-a-monicelli-qui-giorgio-gosetti-e-alberto-crespi-ci-parlano-de-la-grande-guerra/,ok,200,1,1,Ficha pública do Catalogo video verificada sem baixar mídia.,
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,https://www.fondazionecsc.it/film/per-la-nostra-serie-di-video-sulla-mostra-dedicata-a-mario-monicelli-presso-la-casa-del-cinema-e-in-occasione-della-festa-della-donna-alberto-crespi-e-giorgio-gosetti-ci-parlano-de-la-ragazza-con-l/,ok,200,1,1,Ficha pública do Catalogo video verificada sem baixar mídia.,
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,https://www.fondazionecsc.it/film/alberto-crespi-presenta-la-mostra-su-monicelli-alla-casa-del-cinema-curata-dal-centro-sperimentale/,ok,200,1,1,Ficha pública do Catalogo video verificada sem baixar mídia.,
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,https://www.fondazionecsc.it/film/enrico-vanzina-commenta-la-mostra-su-monicelli-alla-casa-del-cinema/,ok,200,1,1,Ficha pública do Catalogo video verificada sem baixar mídia.,
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,https://www.fondazionecsc.it/film/da-lunedi-15-febbraio-si-puo-visitare-in-presenza-la-mostra-dedicata-a-monicelli/,ok,200,1,1,Ficha pública do Catalogo video verificada sem baixar mídia.,
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,https://www.fondazionecsc.it/film/color-sacro-storia-di-mater-dei-primo-film-italiano-a-colori-e-del-suo-restauro/,ok,200,1,1,Ficha pública do Catalogo video verificada sem baixar mídia.,
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,https://www.fondazionecsc.it/film/archivio-della-memoria-ritratti-italiani-15-larchitettura-della-luce-incontro-con-giuseppe-rotunno-aintervista-a-cura-di-sergio-toffetti/,ok,200,1,1,Ficha pública do Catalogo video verificada sem baixar mídia.,
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,https://www.fondazionecsc.it/film/continua-la-collaborazione-tra-la-casa-del-cinema-di-roma-e-il-centro-sperimentale-di-cinematografia-oggi-in-video-bernardo-bertolucci/,ok,200,1,1,Ficha pública do Catalogo video verificada sem baixar mídia.,
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,https://www.fondazionecsc.it/film/ricordiamo-con-un-abbraccio-il-maestro-peppino-rotunno-colonna-portante-del-csc-con-questa-intervista-realizzata-da-alfredo-baldi/,ok,200,1,1,Ficha pública do Catalogo video verificada sem baixar mídia.,
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,https://www.fondazionecsc.it/film/presentazione-del-nuovo-numero-di-bianco-e-nero-dedicato-a-cinema-e-covid/,ok,200,1,1,Ficha pública do Catalogo video verificada sem baixar mídia.,
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,https://www.fondazionecsc.it/film/alberto-anile-conservatore-della-cineteca-nazionale-parla-di-cinecensura/,ok,200,1,1,Ficha pública do Catalogo video verificada sem baixar mídia.,
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,https://www.fondazionecsc.it/film/dino-trappetti-ricorda-romolo-valli/,ok,200,1,1,Ficha pública do Catalogo video verificada sem baixar mídia.,
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,https://www.fondazionecsc.it/film/anita-bartolucci-ricorda-romolo-valli/,ok,200,1,1,Ficha pública do Catalogo video verificada sem baixar mídia.,
