tema,tipo_institucional,total
Documentário e registro histórico,National cinematheque with public metadata and onsite/authorized media access,112
Ficção cinematográfica,National cinematheque with public metadata and onsite/authorized media access,85
Registro audiovisual em catálogo,National cinematheque with public metadata and onsite/authorized media access,52
Animação,National cinematheque with public metadata and onsite/authorized media access,48
Cinejornal e atualidades,National cinematheque with public metadata and onsite/authorized media access,1
