tema,tipo_institucional,total
"Reconstrução econômica, infraestrutura e trabalho",Museum film archive with public descriptive online film selection,12
Plano Marshall e memória audiovisual europeia,Museum film archive with public descriptive online film selection,10
Filmes educativos e publicidade institucional,Museum film archive with public descriptive online film selection,6
"História, reconstrução e memória política",Museum film archive with public descriptive online film selection,6
