tema,tipo_institucional,total
"Cinejornal, atualidades e história pública",National film archive with public audiovisual streaming catalogue,2569
Documentário e registro histórico,National film archive with public audiovisual streaming catalogue,556
Animação,National film archive with public audiovisual streaming catalogue,327
Ficção cinematográfica,National film archive with public audiovisual streaming catalogue,203
Patrimônio fílmico estoniano,National film archive with public audiovisual streaming catalogue,90
Publicidade e cultura comercial,National film archive with public audiovisual streaming catalogue,50
"Cinema experimental, curta e formação",National film archive with public audiovisual streaming catalogue,44
