tema,plataforma,total
Registro audiovisual de acervo televisivo,BBC Archive,354
"Cotidiano, território e sociedade",BBC Archive,135
Programação televisiva e memória da mídia,BBC Archive,95
"Vida pública, política e história",BBC Archive,94
"Artes, cultura e entretenimento",BBC Archive,41
"Tecnologia, ciência e inovação",BBC Archive,40
Esporte e cultura física,BBC Archive,36
Música e cultura popular,BBC Archive,22
