tema,tipo_institucional,total
Memória audiovisual militar e institucional,Institutional military audiovisual archive with public Arkothèque catalog,16088
"Conflitos, defesa e operações militares",Institutional military audiovisual archive with public Arkothèque catalog,7307
"Tecnologia, armamentos e infraestrutura militar",Institutional military audiovisual archive with public Arkothèque catalog,4363
"Memória militar, cerimônias e comemorações",Institutional military audiovisual archive with public Arkothèque catalog,3714
"Treinamento, doutrina e vida militar",Institutional military audiovisual archive with public Arkothèque catalog,3625
"Fundos cinematográficos, memória privada e colonial",Institutional military audiovisual archive with public Arkothèque catalog,929
