tema,pais,total
"Cinejornal, atualidades e história pública",Austria,174
Preservação e memória fílmica,Austria,161
"Cotidiano, território e memória local",Austria,153
Ficção cinematográfica,Austria,32
Patrimônio fílmico austríaco,Austria,9
