tema,plataforma,total
Comunicação institucional,Archipop,19
Visita e descoberta do arquivo,Archipop,17
Apresentação institucional,Archipop,5
Formação e mediação,Archipop,5
Coleções e serviços,Archipop,4
Exposições e eventos,Archipop,4
Preservação e conservação,Archipop,2
Acervo e patrimônio,Archipop,1
"Memória, narrativa e testemunho",Archipop,1
