institution,slug,country,continent,repository_code,archive_type,cineam_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,https://www.cineam.asso.fr/exploration-troisieme-anniversaire-en-interieur-905-0-0-0.html?_doc=9%3A4%3A3806&page=1,ok,200,1,1,"Ficha pública CINÉAM verificada, com embed Diaz registrado sem baixar mídia.",
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,https://www.cineam.asso.fr/exploration-budapest-septembre-1968-905-0-0-0.html?_doc=9%3A4%3A4245&page=1,ok,200,1,0,"Ficha pública CINÉAM verificada, com embed Diaz registrado sem baixar mídia.",
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,https://www.cineam.asso.fr/exploration-la-famille-sur-le-canape-905-0-0-0.html?_doc=9%3A4%3A3800&page=1,ok,200,1,1,"Ficha pública CINÉAM verificada, com embed Diaz registrado sem baixar mídia.",
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,https://www.cineam.asso.fr/exploration-enfants-et-grand-pere-sur-le-balcon-905-0-0-0.html?_doc=9%3A4%3A3799&page=1,ok,200,1,1,"Ficha pública CINÉAM verificada, com embed Diaz registrado sem baixar mídia.",
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,https://www.cineam.asso.fr/exploration-second-anniversaire-en-interieur-905-0-0-0.html?_doc=9%3A4%3A3805&page=1,ok,200,1,1,"Ficha pública CINÉAM verificada, com embed Diaz registrado sem baixar mídia.",
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,https://www.cineam.asso.fr/exploration-famille-au-pays-905-0-0-0.html?_doc=9%3A4%3A3801&page=1,ok,200,1,1,"Ficha pública CINÉAM verificada, com embed Diaz registrado sem baixar mídia.",
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,https://www.cineam.asso.fr/exploration-fete-d-anniversaire-en-appartement-905-0-0-0.html?_doc=9%3A4%3A3798&page=1,ok,200,1,1,"Ficha pública CINÉAM verificada, com embed Diaz registrado sem baixar mídia.",
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,https://www.cineam.asso.fr/exploration-905-0-0-0.html?page=2,ok,200,18,0,Página 2 da listagem pública `Films / Exploration` do CINÉAM.,
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,https://www.cineam.asso.fr/exploration-au-pays-les-enfants-dans-la-cour-de-la-ferme-905-0-0-0.html?_doc=9%3A4%3A3804&page=2,ok,200,1,1,"Ficha pública CINÉAM verificada, com embed Diaz registrado sem baixar mídia.",
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,https://www.cineam.asso.fr/exploration-famille-et-rosiers-905-0-0-0.html?_doc=9%3A4%3A3833&page=2,ok,200,1,1,"Ficha pública CINÉAM verificada, com embed Diaz registrado sem baixar mídia.",
