tema,pais,total
Acervo e patrimônio,Italy,2845
História e pesquisa,Italy,458
Exposições e eventos,Italy,325
Música e performance,Italy,257
Visita e descoberta do arquivo,Italy,164
Divulgação de serviços e projetos,Italy,118
Digitalização e acesso,Italy,97
Formação e mediação,Italy,86
Apresentação institucional,Italy,79
Preservação e conservação,Italy,58
"Memória, narrativa e testemunho",Italy,48
Coleções e serviços,Italy,37
Comunicação institucional,Italy,21
