institution,slug,country,continent,repository_code,archive_type,filmoteca_vasca_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at,video_title_display,video_date_display,video_theme,access_surface
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,Vimeo,https://vimeo.com/836092274,"Carrera ciclista, Donostia-San Sebastián",Ciclismo; Decada 1940; Depósito Lola Valverde Lamfus,Vídeo público da seção Multimedia da Filmoteca Vasca. | coleção: Ciclismo | direção/fonte: Depósito Lola Valverde Lamfus | ano: 1940-1949 | duração: 1´ 32´´ | observações: 8mm muda b/n | thumbnail: https://filmoteka.eus/media/uploads/fondos/general_/4599_2.jpg | URLs oficiais associadas: https://filmoteka.eus/es/coleccion/multimedia/ciclismo/carrera_ciclista_san_sebastian_4599_2; https://filmoteka.eus/es/coleccion/multimedia/decada-1940/carrera_ciclista_san_sebastian_4599_2 | categorias oficiais: Ciclismo; Decada 1940,1940-1949,"Carrera ciclista, Donostia-San Sebastián",1940-1949,Esporte e cultura física,Plataforma externa de vídeo
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,Vimeo,https://vimeo.com/836091932,Vuelta a España,Ciclismo; Decada 1940; Depósito Javier Alday,Vídeo público da seção Multimedia da Filmoteca Vasca. | coleção: Ciclismo | direção/fonte: Depósito Javier Alday | ano: 1940-1949 | duração: 1´ 04´´ | observações: 16mm muda b/n | thumbnail: https://filmoteka.eus/media/uploads/fondos/general_/4179_36.jpg | URLs oficiais associadas: https://filmoteka.eus/es/coleccion/multimedia/ciclismo/vuelta_a_espana_4179_36; https://filmoteka.eus/es/coleccion/multimedia/decada-1940/vuelta_a_espana_4179_36 | categorias oficiais: Ciclismo; Decada 1940,1940-1949,Vuelta a España,1940-1949,Esporte e cultura física,Plataforma externa de vídeo
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,Vimeo,https://vimeo.com/836093209,Vuelta al País Vasco,Ciclismo; Decada 1940; Depósito Antonio Sarasua,Vídeo público da seção Multimedia da Filmoteca Vasca. | coleção: Ciclismo | direção/fonte: Depósito Antonio Sarasua | ano: 1940-1949 | duração: 3´ 27´´ | observações: 16mm muda b/n | thumbnail: https://filmoteka.eus/media/uploads/fondos/general_/8685_41.jpg | URLs oficiais associadas: https://filmoteka.eus/es/coleccion/multimedia/ciclismo/vuelta_al_pais_vasco_8685_41; https://filmoteka.eus/es/coleccion/multimedia/decada-1940/vuelta_al_pais_vasco_8685_41 | categorias oficiais: Ciclismo; Decada 1940,1940-1949,Vuelta al País Vasco,1940-1949,Esporte e cultura física,Plataforma externa de vídeo
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,Vimeo,https://vimeo.com/113689569,Elai-Alai,Decada 1930; Guerra Civil; Nemesio Sobrevila,Vídeo público da seção Multimedia da Filmoteca Vasca. | coleção: Guerra Civil | direção/fonte: Nemesio Sobrevila | ano: 1938 | duração: 24' | observações: Se trata de un telecine realizado por la Filmoteca Vasca a partir de una copia restaurada por la Cinémathèque française. El sonido se le añadió a posteriori en algunos fragmentos. | thumbnail: https://filmoteka.eus/media/uploads/fondos/general_/Elai_Alai.jpeg | URLs oficiais associadas: https://filmoteka.eus/es/coleccion/multimedia/decada-1930/elai-alai; https://filmoteka.eus/es/coleccion/multimedia/guerra-civil/elai-alai | categorias oficiais: Decada 1930; Guerra Civil,1938,Elai-Alai,1938-01-01,"Guerra, memória política e história",Plataforma externa de vídeo
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,Vimeo,https://vimeo.com/113269520,"Entierro del benemérito sacerdote vasco José María de Korta y Uríbarren, muerto en el Frente de Asturias",Decada 1930; Guerra Civil,Vídeo público da seção Multimedia da Filmoteca Vasca. | coleção: Guerra Civil | ano: 1937 | duração: 4´ | thumbnail: https://filmoteka.eus/media/uploads/fondos/general_/21_entierro_benemerito.jpg | URLs oficiais associadas: https://filmoteka.eus/es/coleccion/multimedia/decada-1930/entierro-del-benemerito-sacerdote-vasco-jose-maria-de-korta-y-uribarren-muerto-en-el-frente-de-asturias; https://filmoteka.eus/es/coleccion/multimedia/guerra-civil/entierro-del-benemerito-sacerdote-vasco-jose-maria-de-korta-y-uribarren-muerto-en-el-frente-de-asturias | categorias oficiais: Decada 1930; Guerra Civil,1937,"Entierro del benemérito sacerdote vasco José María de Korta y Uríbarren, muerto en el Frente de Asturias",1937-01-01,"Guerra, memória política e história",Plataforma externa de vídeo
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,Vimeo,https://vimeo.com/113280170,Guernika,Decada 1930; Guerra Civil; Nemesio Sobrevila,Vídeo público da seção Multimedia da Filmoteca Vasca. | coleção: Decada 1930 | direção/fonte: Nemesio Sobrevila | ano: 1937 | duração: 23´ | thumbnail: https://filmoteka.eus/media/uploads/fondos/general_/20_guernika.jpg | URLs oficiais associadas: https://filmoteka.eus/es/coleccion/multimedia/decada-1930/guernika; https://filmoteka.eus/es/coleccion/multimedia/guerra-civil/guernika | categorias oficiais: Decada 1930; Guerra Civil,1937,Guernika,1937-01-01,"Guerra, memória política e história",Plataforma externa de vídeo
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,Vimeo,https://vimeo.com/116429487,Semana Santa en Bilbao,Decada 1930; Guerra Civil,Vídeo público da seção Multimedia da Filmoteca Vasca. | coleção: Guerra Civil | ano: 1937 | duração: 2´ | thumbnail: https://filmoteka.eus/media/uploads/fondos/general_/22_semana_santa_bilbao.jpg | URLs oficiais associadas: https://filmoteka.eus/es/coleccion/multimedia/decada-1930/semana-santa-en-bilbao; https://filmoteka.eus/es/coleccion/multimedia/guerra-civil/semana-santa-en-bilbao | categorias oficiais: Decada 1930; Guerra Civil,1937,Semana Santa en Bilbao,1937-01-01,"Guerra, memória política e história",Plataforma externa de vídeo
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,Vimeo,https://vimeo.com/836090953,"Carrera ciclista, Sollube",Ciclismo; Decada 1930; Depósito Susana Beltrán de Heredia / Oier Araolaza Arrieta,Vídeo público da seção Multimedia da Filmoteca Vasca. | coleção: Ciclismo | direção/fonte: Depósito Susana Beltrán de Heredia / Oier Araolaza Arrieta | ano: 1935 | duração: 1´ 32´´ | observações: 16mm muda b/n | thumbnail: https://filmoteka.eus/media/uploads/fondos/general_/5907_2.jpg | URLs oficiais associadas: https://filmoteka.eus/es/coleccion/multimedia/ciclismo/carrera_ciclista_sollube_5907_2; https://filmoteka.eus/es/coleccion/multimedia/decada-1930/carrera_ciclista_sollube_5907_2 | categorias oficiais: Ciclismo; Decada 1930,1935,"Carrera ciclista, Sollube",1935-01-01,Esporte e cultura física,Plataforma externa de vídeo
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,Vimeo,https://vimeo.com/116428741,Fiestas de Mondragón,Decada 1930,Vídeo público da seção Multimedia da Filmoteca Vasca. | coleção: Decada 1930 | ano: 1933 | duração: 11´ | thumbnail: https://filmoteka.eus/media/uploads/fondos/general_/19_fiestas_de_mondragon.jpg | URLs oficiais associadas: https://filmoteka.eus/es/coleccion/multimedia/decada-1930/fiestas-de-mondragon | categorias oficiais: Decada 1930,1933,Fiestas de Mondragón,1933-01-01,"Cotidiano, território e memória local",Plataforma externa de vídeo
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,Vimeo,https://vimeo.com/123818169,Semana Santa en Azkoitia,Decada 1930; Nemesio Otaño,Vídeo público da seção Multimedia da Filmoteca Vasca. | coleção: Decada 1930 | direção/fonte: Nemesio Otaño | ano: 1932 | duração: 3´ | observações: Imágenes correspondientes al telecine de un rollo de 16mm. depositado en la Filmoteca Vasca por Juan Bautista Mendizabal. | thumbnail: https://filmoteka.eus/media/uploads/fondos/general_/18_semana_santa_azkoitia.jpg | URLs oficiais associadas: https://filmoteka.eus/es/coleccion/multimedia/decada-1930/semana-santa-en-azkoitia | categorias oficiais: Decada 1930,1932,Semana Santa en Azkoitia,1932-01-01,"Cotidiano, território e memória local",Plataforma externa de vídeo
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,Vimeo,https://vimeo.com/129081900,Fiestas de Elorrio: Errebonbilloak,Decada 1930,Vídeo público da seção Multimedia da Filmoteca Vasca. | coleção: Decada 1930 | ano: 1930-1940 | duração: 5´ | thumbnail: https://filmoteka.eus/media/uploads/fondos/general_/17_fiestas_elorrio_errebonbilloak.jpg | URLs oficiais associadas: https://filmoteka.eus/es/coleccion/multimedia/decada-1930/fiestas-de-elorrio-errebonbilloak | categorias oficiais: Decada 1930,1930-1940,Fiestas de Elorrio: Errebonbilloak,1930-1940,"Cotidiano, território e memória local",Plataforma externa de vídeo
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,Vimeo,https://vimeo.com/836091463,Carrera ciclista,Ciclismo; Decada 1930; Depósito Eloísa Larrea Bastida,Vídeo público da seção Multimedia da Filmoteca Vasca. | coleção: Ciclismo | direção/fonte: Depósito Eloísa Larrea Bastida | ano: 1930-1939 | duração: 1´ 41´´ | observações: 16mm muda b/n | thumbnail: https://filmoteka.eus/media/uploads/fondos/general_/6041_34.jpg | URLs oficiais associadas: https://filmoteka.eus/es/coleccion/multimedia/ciclismo/carrera_ciclista_6041_34; https://filmoteka.eus/es/coleccion/multimedia/decada-1930/carrera_ciclista_6041_34 | categorias oficiais: Ciclismo; Decada 1930,1930-1939,Carrera ciclista,1930-1939,Esporte e cultura física,Plataforma externa de vídeo
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,Vimeo,https://vimeo.com/836091348,"Carrera ciclista, Itziar",Ciclismo; Decada 1930; Depósito Eloisa Larrea Bastida,Vídeo público da seção Multimedia da Filmoteca Vasca. | coleção: Ciclismo | direção/fonte: Depósito Eloisa Larrea Bastida | ano: 1930-1939 | duração: 26´´ | observações: 16mm muda b/n | thumbnail: https://filmoteka.eus/media/uploads/fondos/general_/6041_13.jpg | URLs oficiais associadas: https://filmoteka.eus/es/coleccion/multimedia/ciclismo/carrera_ciclista_itziar_6041_13; https://filmoteka.eus/es/coleccion/multimedia/decada-1930/carrera_ciclista_itziar_6041_13 | categorias oficiais: Ciclismo; Decada 1930,1930-1939,"Carrera ciclista, Itziar",1930-1939,Esporte e cultura física,Plataforma externa de vídeo
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,Vimeo,https://vimeo.com/836090779,Carrera ciclista. Bilbao,Ciclismo; Decada 1930; Depósito Manuel Clausen Castellón,"Vídeo público da seção Multimedia da Filmoteca Vasca. | coleção: Ciclismo | direção/fonte: Depósito Manuel Clausen Castellón | ano: 1930-1939 | duração: 1´ 32´´ | observações: 9,5mm muda b/n | thumbnail: https://filmoteka.eus/media/uploads/fondos/general_/4255_5.jpg | URLs oficiais associadas: https://filmoteka.eus/es/coleccion/multimedia/ciclismo/carrera_ciclista_bilbao_4255_5; https://filmoteka.eus/es/coleccion/multimedia/decada-1930/carrera_ciclista_bilbao_4255_5 | categorias oficiais: Ciclismo; Decada 1930",1930-1939,Carrera ciclista. Bilbao,1930-1939,Esporte e cultura física,Plataforma externa de vídeo
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,Vimeo,https://vimeo.com/113269531,Experiencias de cine en relieve (Años 30),Decada 1930; Teófilo Mingueza,Vídeo público da seção Multimedia da Filmoteca Vasca. | coleção: Decada 1930 | direção/fonte: Teófilo Mingueza | ano: 1930-1939 | duração: 4´ | thumbnail: https://filmoteka.eus/media/uploads/fondos/general_/16_experiencias_cine_relieve.jpg | URLs oficiais associadas: https://filmoteka.eus/es/coleccion/multimedia/decada-1930/experiencias-de-cine-en-relieve-anos-30 | categorias oficiais: Decada 1930,1930-1939,Experiencias de cine en relieve (Años 30),1930-1939,Patrimônio cinematográfico regional,Plataforma externa de vídeo
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,Vimeo,https://vimeo.com/123617542,4 de mayo de 1930: Solemne Coronación de Andre María de Arritokieta (Zumaya).,Decada 1930; José María Martiarena,Vídeo público da seção Multimedia da Filmoteca Vasca. | coleção: Decada 1930 | direção/fonte: José María Martiarena | ano: 1930 | duração: 2´35´´ | thumbnail: https://filmoteka.eus/media/uploads/fondos/general_/14_4_mayo_1930_solemne_coronacion_andre_maria_arritokieta.jpg | URLs oficiais associadas: https://filmoteka.eus/es/coleccion/multimedia/decada-1930/4-de-mayo-de-1930-solemne-coronacion-de-andre-maria-de-arritokieta-zumaya | categorias oficiais: Decada 1930,1930,4 de mayo de 1930: Solemne Coronación de Andre María de Arritokieta (Zumaya).,1930-01-01,Patrimônio cinematográfico regional,Plataforma externa de vídeo
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,Vimeo,https://vimeo.com/289661595,Fiestas de San Miguel en Urnieta (1930),Decada 1930,"Vídeo público da seção Multimedia da Filmoteca Vasca. | coleção: Decada 1930 | ano: 1930 | duração: 07´52"" | observações: Imágenes pertenecientes a la Caja de Ahorros Provincial de Guipúzcoa. | thumbnail: https://filmoteka.eus/media/uploads/fondos/general_/15_fiestas_de_san_miguel_en_urnieta.jpg | URLs oficiais associadas: https://filmoteka.eus/es/coleccion/multimedia/decada-1930/fiestas-de-san-miguel-en-urnieta-1930 | categorias oficiais: Decada 1930",1930,Fiestas de San Miguel en Urnieta (1930),1930-01-01,"Cotidiano, território e memória local",Plataforma externa de vídeo
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,Vimeo,https://vimeo.com/151369762,Donostia / San Sebastián (1929): Tamborrada de la Unión Artesana,Decada 1920,Vídeo público da seção Multimedia da Filmoteca Vasca. | coleção: Decada 1920 | ano: 20/01/1929 | duração: 3´30´´ | observações: Película recuperada por la Filmoteca de Zaragoza y restaurada por la Filmoteca Vasca. | thumbnail: https://filmoteka.eus/media/uploads/fondos/general_/52_donostia_san_sebastian_1929_tamborrada_union_artesana.jpg | URLs oficiais associadas: https://filmoteka.eus/es/coleccion/multimedia/decada-1920/donostia--san-sebastian-1929-tamborrada-de-la-union-artesana | categorias oficiais: Decada 1920,20/01/1929,Donostia / San Sebastián (1929): Tamborrada de la Unión Artesana,1929-01-20,Preservação e conservação,Plataforma externa de vídeo
