tema,pais,total
Documentário e registro histórico,Portugal,16
Registro audiovisual em cinemateca digital,Portugal,16
"Território, cidade e patrimônio",Portugal,9
"Vida pública, política e história",Portugal,8
Esporte e cultura física,Portugal,1
