tema,total
"Documentário, cotidiano e memória local",385
"Vida pública, política e história",255
Ficção cinematográfica,35
Registro audiovisual em arquivo fílmico,8
Publicidade e comunicação pública,7
"Artes, música e experimentação",6
Animação,4
Esporte e cultura física,1
"Entrevista, debate e memória cinematográfica",1
