institution,slug,country,continent,repository_code,archive_type,filmoteca_valenciana_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-espanol/no-ficcion/corrida-de-beneficencia-celebrada-en-madrid-el-dia-3-por-los-espadas-vicente-pastor-gallo-gallito-y-el-celebre-belmonte/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-espanol/no-ficcion/cultivo-del-arroz/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-espanol/no-ficcion/fumigacion-del-naranjo/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-espanol/no-ficcion/estampas/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-espanol/no-ficcion/inedito-pelaez-rafael-expediciones-al-mato-grosso-y-amazonia/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-espanol/no-ficcion/espana-al-dia-edicion-especial-attlee-en-espana/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-espanol/no-ficcion/la-obra-del-fascismo/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-espanol/no-ficcion/procesion-del-corpus/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-espanol/no-ficcion/que-es-espana/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-extranjero/,ok,200,0,0,Página de categoria ou ficha sem player Vimeo detectado.,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-espanol/no-ficcion/revolucion-de-octubre-de-1934-sucesos-de-barcelona/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-extranjero/ficcion/el-proceso-clemenceau/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-extranjero/ficcion/,ok,200,0,0,Página de categoria ou ficha sem player Vimeo detectado.,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-extranjero/ficcion/en-el-pais-del-oro-land-olizards/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-extranjero/ficcion/il-ventre-di-parigi/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-extranjero/ficcion/moral-el-diario-de-ninon/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-extranjero/ficcion/the-betterole/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-extranjero/ficcion/loeuf-du-sorcier/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-extranjero/ficcion/tiras-de-animacion/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-extranjero/no-ficcion/el-naufrago-de-la-calle-providencia/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-extranjero/ficcion/the-lady-who-dared-la-dama-atrevida/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-extranjero/no-ficcion/galeria-de-escritores-y-artistas-de-1928-a-1959/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-extranjero/no-ficcion/,ok,200,0,0,Página de categoria ou ficha sem player Vimeo detectado.,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-extranjero/no-ficcion/iv-ccngreso-iii-internacional-funeral-en-berlin-de-vatslav-worowski/,ok,200,1,1,,
