tema,plataforma,total
Filme amador e memória local,Ciclic Mémoire,20
Arquivo audiovisual regional,Ciclic Mémoire,11
"Documentário, cotidiano e memória local",Ciclic Mémoire,7
Ficção cinematográfica,Ciclic Mémoire,1
