tema,pais,total
Registro audiovisual de acervo televisivo,United Kingdom,354
"Cotidiano, território e sociedade",United Kingdom,135
Programação televisiva e memória da mídia,United Kingdom,95
"Vida pública, política e história",United Kingdom,94
"Artes, cultura e entretenimento",United Kingdom,41
"Tecnologia, ciência e inovação",United Kingdom,40
Esporte e cultura física,United Kingdom,36
Música e cultura popular,United Kingdom,22
