tema,tipo_institucional,total
"Memória política, trabalho e conflito social",Film archive with restricted institutional catalogue and public PLATFO FILMO subset,3
"Mídia, censura e esfera pública",Film archive with restricted institutional catalogue and public PLATFO FILMO subset,3
"Migração, cidade e memória social",Film archive with restricted institutional catalogue and public PLATFO FILMO subset,2
"Ficção, ensaio e cinema experimental",Film archive with restricted institutional catalogue and public PLATFO FILMO subset,1
"Trabalho, campo e território",Film archive with restricted institutional catalogue and public PLATFO FILMO subset,1
