tema,pais,total
Documentário e registro histórico,Switzerland,112
Ficção cinematográfica,Switzerland,85
Registro audiovisual em catálogo,Switzerland,52
Animação,Switzerland,48
Cinejornal e atualidades,Switzerland,1
