tema,tipo_institucional,total
"Documentário, cotidiano e memória local",Film and television archive,385
"Vida pública, política e história",Film and television archive,255
Ficção cinematográfica,Film and television archive,35
Registro audiovisual em arquivo fílmico,Film and television archive,8
Publicidade e comunicação pública,Film and television archive,7
"Artes, música e experimentação",Film and television archive,6
Animação,Film and television archive,4
"Entrevista, debate e memória cinematográfica",Film and television archive,1
Esporte e cultura física,Film and television archive,1
