tema,tipo_institucional,total
Documentário e registro histórico,National film and moving image archive,16
Registro audiovisual em cinemateca digital,National film and moving image archive,16
"Território, cidade e patrimônio",National film and moving image archive,9
"Vida pública, política e história",National film and moving image archive,8
Esporte e cultura física,National film and moving image archive,1
