tema,plataforma,total
"Cinejornal, atualidades e história pública",Arkaader,2569
Documentário e registro histórico,Arkaader,556
Animação,Arkaader,327
Ficção cinematográfica,Arkaader,203
Patrimônio fílmico estoniano,Arkaader,90
Publicidade e cultura comercial,Arkaader,50
"Cinema experimental, curta e formação",Arkaader,44
