institution,slug,country,continent,repository_code,archive_type,asim_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca?page=8%2C0%2C0,ok,200,8,8,Página 9 da coleção ASIM visível no European Film Gateway.,
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca?page=9%2C0%2C0,ok,200,8,8,Página 10 da coleção ASIM visível no European Film Gateway.,
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca?page=10%2C0%2C0,ok,200,8,8,Página 11 da coleção ASIM visível no European Film Gateway.,
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca?page=11%2C0%2C0,ok,200,8,8,Página 12 da coleção ASIM visível no European Film Gateway.,
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca?page=12%2C0%2C0,ok,200,1,1,Página 13 da coleção ASIM visível no European Film Gateway.,
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,https://www.europeanfilmgateway.eu/detail/Mallorca%20in%C3%A9dita/asim::3cded61810625f0c836ea1a19cbd5d0a,ok,200,1,1,"Ficha pública de vídeo do ASIM no EFG, com metadados e player/link externo quando disponível.",
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,https://www.europeanfilmgateway.eu/detail/Carta%20de%20amor%20a%20Mallorca/asim::7bdb58012b5e7ced892182dfd7fd76b3,ok,200,1,1,"Ficha pública de vídeo do ASIM no EFG, com metadados e player/link externo quando disponível.",
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,https://www.europeanfilmgateway.eu/detail/Las%20bellas%20de%20Mallorca/asim::0ea4203451c9e8ac1a2ef95719ef69e9,ok,200,1,1,"Ficha pública de vídeo do ASIM no EFG, com metadados e player/link externo quando disponível.",
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,https://www.europeanfilmgateway.eu/detail/Viaje%20a%20Mallorca%20(part%201)/asim::839a6bfd088c97aee7049c08fda55119,ok,200,1,1,"Ficha pública de vídeo do ASIM no EFG, com metadados e player/link externo quando disponível.",
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,https://www.europeanfilmgateway.eu/detail/Viaje%20a%20Mallorca%20(part%202)/asim::4355b18dbc12d91786ae27c3b3686481,ok,200,1,1,"Ficha pública de vídeo do ASIM no EFG, com metadados e player/link externo quando disponível.",
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,https://www.europeanfilmgateway.eu/detail/But%20do%20you%20really%20know%20Mallorca%20(part%201)/asim::9c81eeb4d0ae04b11a934bfdba176430,ok,200,1,1,"Ficha pública de vídeo do ASIM no EFG, com metadados e player/link externo quando disponível.",
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,https://www.europeanfilmgateway.eu/detail/But%20do%20you%20really%20know%20Mallorca%20(part%202)/asim::704d40a4ff211fe8c2a75e785857840e,ok,200,1,1,"Ficha pública de vídeo do ASIM no EFG, com metadados e player/link externo quando disponível.",
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,https://www.europeanfilmgateway.eu/detail/But%20do%20you%20really%20know%20Mallorca%20(part%203)/asim::fef8c3c9e284666a1fdfe8181f5e1d70,ok,200,1,1,"Ficha pública de vídeo do ASIM no EFG, com metadados e player/link externo quando disponível.",
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,"https://www.europeanfilmgateway.eu/detail/Cuevas%20del%20Drach,%20Porto%20Cristo,%20Mallorca/asim::5ad3f20a0c8f1ac317584aef13eb2756",ok,200,1,1,"Ficha pública de vídeo do ASIM no EFG, com metadados e player/link externo quando disponível.",
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,https://www.europeanfilmgateway.eu/detail/La%20elaboraci%C3%B3n%20de%20la%20ensaimada%20en%20Mallorca/asim::998110a568a91bbf2927f14d36f08ec2,ok,200,1,1,"Ficha pública de vídeo do ASIM no EFG, com metadados e player/link externo quando disponível.",
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,https://www.europeanfilmgateway.eu/detail/Mallorca%20(part%201)/asim::1c09d2629b572814706ed7313d7f78aa,ok,200,1,1,"Ficha pública de vídeo do ASIM no EFG, com metadados e player/link externo quando disponível.",
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,https://www.europeanfilmgateway.eu/detail/Mallorca%20(part%202)/asim::79cc9a543f7cdc23eede0300ba5b8626,ok,200,1,1,"Ficha pública de vídeo do ASIM no EFG, com metadados e player/link externo quando disponível.",
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,https://www.europeanfilmgateway.eu/detail/Mallorca%20(part%203)/asim::37678f3695cb4f078610f6c79efae6bf,ok,200,1,1,"Ficha pública de vídeo do ASIM no EFG, com metadados e player/link externo quando disponível.",
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,https://www.europeanfilmgateway.eu/detail/Mallorca%20(part%204)/asim::13d15e2f7310fced777b94948e962419,ok,200,1,1,"Ficha pública de vídeo do ASIM no EFG, com metadados e player/link externo quando disponível.",
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,https://www.europeanfilmgateway.eu/detail/Mallorca%20(part%205)/asim::0f8e07ac9170ff9fd49a3da0811b4d73,ok,200,1,1,"Ficha pública de vídeo do ASIM no EFG, com metadados e player/link externo quando disponível.",
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,https://www.europeanfilmgateway.eu/detail/Mallorca%20(part%206)/asim::04c8180dd9b33b8937a1510745bc6e38,ok,200,1,1,"Ficha pública de vídeo do ASIM no EFG, com metadados e player/link externo quando disponível.",
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,https://www.europeanfilmgateway.eu/detail/Mallorca%20(part%207)/asim::a2d66f660c42ec704a65f73a48538cf1,ok,200,1,1,"Ficha pública de vídeo do ASIM no EFG, com metadados e player/link externo quando disponível.",
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,"https://www.europeanfilmgateway.eu/detail/Mallorca,%20mon%20amour/asim::f1eb2387bcd56d56fd14ca9baa7a6706",ok,200,1,1,"Ficha pública de vídeo do ASIM no EFG, com metadados e player/link externo quando disponível.",
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,https://www.europeanfilmgateway.eu/detail/Postales%20de%20Calvi%C3%A0/asim::46db5b84b8e315b7679e95b8d13eb0c3,ok,200,1,1,"Ficha pública de vídeo do ASIM no EFG, com metadados e player/link externo quando disponível.",
