institution,slug,country,continent,repository_code,archive_type,dr_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,DRTV/Gensyn,https://www.dr.dk/drtv/program/sange-om-jesu-foedsel_556171,Sange om Jesu fødsel,Gensyn: Kultur - Se kulturprogrammer fra DR's arkiv her; kultur; musik; gensyn; dr gensyn; thesaurus_jul; thesaurus_kormusik; controlled_julesange; editorialptaxtop_gensyn; editorialptaxsub_højtider,"Dansk kulturprogram fra 1978. Det kimer til julefest i Dråby Kirke i Hornsherred, når DR Pigekoret under ledelse af dirigent Tage Mortensen fortolker julens salmer og sange om Jesu fødsel. Repertoiret spænder bredt fra klassiske fortolkninger til mere mod | tipo DRTV: program | coleção: Gensyn: Kultur - Se kulturprogrammer fra DR's arkiv her | categorias: kultur, musik, gensyn, dr gensyn | palavras-chave: thesaurus_jul, thesaurus_kormusik, controlled_julesange, editorialptaxtop_gensyn, editorialptaxsub_højtider, culturalorigin_dansk | ano: 1978 | duração: 41:17 | país de produção: DANMARK | georrestrição declarada: False | oferta DRTV: availability=ComingSoon; ownership=None; delivery=None; resolution=Unknown | regime de acesso: streaming com login/cadastro ou oferta não livre no nível do programa/episódio | ficha pública DRTV/Gensyn coletada por API pública; mídia não baixada",1978-12-20T00:00:00.0000000Z
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,DRTV/Gensyn,https://www.dr.dk/drtv/program/shit-og-chanel_457361,Shit og Chanel,Gensyn - Se programmer fra DR's arkiv her; kultur; musik; gensyn; dr gensyn; organization_shit og chanel; person_anne linnet; person_lis sørensen; thesaurus_pop; editorialptaxtop_gensyn,"Dansk portrætprogram fra 1978. Shit & Chanel er en af de første danske grupper, som kun har kvindelige medlemmer. Musikkollektivet, der har Anne Linnet og Lis Sørensen i front, er bosiddende i Århus og har i løbet af fem år allerede udgivet tre album - me | tipo DRTV: program | coleção: Gensyn - Se programmer fra DR's arkiv her | categorias: kultur, musik, gensyn, dr gensyn | palavras-chave: organization_shit og chanel, person_anne linnet, person_lis sørensen, thesaurus_pop, editorialptaxtop_gensyn, editorialptaxsub_musik, culturalorigin_dansk | ano: 1978 | duração: 39:55 | país de produção: DANMARK | georrestrição declarada: False | oferta DRTV: availability=ComingSoon; ownership=None; delivery=None; resolution=Unknown | regime de acesso: streaming com login/cadastro ou oferta não livre no nível do programa/episódio | ficha pública DRTV/Gensyn coletada por API pública; mídia não baixada",1978-12-16T00:00:00.0000000Z
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,DRTV/Gensyn,https://www.dr.dk/drtv/program/kammesjukjul_486050,Kammesjukjul,Gensyn - Se programmer fra DR's arkiv her; teater og tv-film; gensyn; dr gensyn; thesaurus_jul; editorialptaxtop_gensyn; editorialptaxsub_film; mood_feel good/hyggelig; culturalorigin_dansk,"Dansk tv-film fra 1978. Nils Malmros' selvbiografiske drama i børnehøjde om drengen Mads, der sammen med vennen Harald arrangerer en juletræsfest for kammeraterne. Vejen til begivenheden er dog brolagt med en del løgne og en del tyverier. Medvirkende: Sør | tipo DRTV: program | coleção: Gensyn - Se programmer fra DR's arkiv her | categorias: teater og tv-film, gensyn, dr gensyn | palavras-chave: thesaurus_jul, editorialptaxtop_gensyn, editorialptaxsub_film, mood_feel good/hyggelig, culturalorigin_dansk | ano: 1978 | duração: 39:41 | país de produção: DANMARK | georrestrição declarada: False | oferta DRTV: availability=ComingSoon; ownership=None; delivery=None; resolution=Unknown | regime de acesso: streaming com login/cadastro ou oferta não livre no nível do programa/episódio | ficha pública DRTV/Gensyn coletada por API pública; mídia não baixada",1978-12-08T00:00:00.0000000Z
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,DRTV/Gensyn,https://www.dr.dk/drtv/program/det-begyndte-med-mathilde_504044,Det begyndte med Mathilde,Gensyn: Teater og TV-film - Se gamle Teater og TV-film fra DR's arkiv her; teater og tv-film; gensyn; dr gensyn; acc_spoken_subtitles; person_mathilde fibiger; editorialptaxtop_gensyn; editorialptaxsub_film; mood_følelsesladet; culturalorigin_dansk,"Dansk tv-drama fra 1978. En dramatiseret fortælling om Danmarks første kvindesagskvinde Mathilde Fibiger. Baseret på breve og dagbøger skildres hendes liv og holdninger fra 1850'erne, hvor hun udgiver den debatskabende brevroman 'Clara Raphael', og frem t | tipo DRTV: program | coleção: Gensyn: Teater og TV-film - Se gamle Teater og TV-film fra DR's arkiv her | categorias: teater og tv-film, gensyn, dr gensyn, acc_spoken_subtitles | palavras-chave: person_mathilde fibiger, editorialptaxtop_gensyn, editorialptaxsub_film, mood_følelsesladet, culturalorigin_dansk | ano: 1978 | duração: 01:35:01 | país de produção: DANMARK | georrestrição declarada: False | oferta DRTV: availability=ComingSoon; ownership=None; delivery=None; resolution=Unknown | regime de acesso: streaming com login/cadastro ou oferta não livre no nível do programa/episódio | ficha pública DRTV/Gensyn coletada por API pública; mídia não baixada",1978-11-19T00:00:00.0000000Z
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,DRTV/Gensyn,https://www.dr.dk/drtv/program/bandefoerer-balling_478865,Bandefører Balling,Gensyn - Se programmer fra DR's arkiv her; underholdning; gensyn; dr gensyn; person_erik balling; thesaurus_filmhistorie; editorialptaxtop_gensyn; editorialptaxsub_kunst/kultur; culturalorigin_dansk,"Dansk dokumentar fra 1978. Erik Balling står bag nogle af de største folkelige succeser i dansk film og tv. Gennem klip fra karrieren og interviews med kollegaer og kritikere tegnes et portræt af en instruktør, der fantasifuldt og med den største alvor ar | tipo DRTV: program | coleção: Gensyn - Se programmer fra DR's arkiv her | categorias: underholdning, gensyn, dr gensyn | palavras-chave: person_erik balling, thesaurus_filmhistorie, editorialptaxtop_gensyn, editorialptaxsub_kunst/kultur, culturalorigin_dansk | ano: 1978 | duração: 57:10 | país de produção: DANMARK | georrestrição declarada: False | oferta DRTV: availability=ComingSoon; ownership=None; delivery=None; resolution=Unknown | regime de acesso: streaming com login/cadastro ou oferta não livre no nível do programa/episódio | ficha pública DRTV/Gensyn coletada por API pública; mídia não baixada",1978-11-07T00:00:00.0000000Z
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,DRTV/Gensyn,https://www.dr.dk/drtv/program/amerikansk-midtvejsvalg-1978_478627,Amerikansk midtvejsvalg 1978,Gensyn - Se programmer fra DR's arkiv her; arkivnyheder; gensyn; dr gensyn; acc_spoken_subtitles; thesaurus_politiske valg; thesaurus_usa; controlled_midtvejsvalg 1978; controlled_valgtemaer; editorialptaxtop_gensyn,"Dansk reportage fra 1978. TV-Aktuelt er taget til midtvejsvalg i Californien og ser på de mange spraglede emner og interesser, der er i spil i delstaten. Fra skattenedsættelser og ikkerygerkampagner til homoseksuelles rettigheder og kvinders ligeberettige | tipo DRTV: program | coleção: Gensyn - Se programmer fra DR's arkiv her | categorias: arkivnyheder, gensyn, dr gensyn, acc_spoken_subtitles | palavras-chave: thesaurus_politiske valg, thesaurus_usa, controlled_midtvejsvalg 1978, controlled_valgtemaer, editorialptaxtop_gensyn, editorialptaxsub_arkivnyheder, culturalorigin_dansk | ano: 1978 | duração: 44:55 | país de produção: DANMARK | georrestrição declarada: False | oferta DRTV: availability=ComingSoon; ownership=None; delivery=None; resolution=Unknown | regime de acesso: streaming com login/cadastro ou oferta não livre no nível do programa/episódio | ficha pública DRTV/Gensyn coletada por API pública; mídia não baixada",1978-11-03T00:00:00.0000000Z
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,DRTV/Gensyn,https://www.dr.dk/drtv/program/dyrebare-oejeblikke_560790,Dyrebare øjeblikke,Gensyn: 1970'erne - Se programmer fra DR's arkiv her; underholdning; musik; gensyn; dr gensyn; person_sanne salomonsen; thesaurus_rock; editorialptaxtop_gensyn; editorialptaxsub_musik; culturalorigin_dansk,"Dansk musikprogram fra 1978. Det både swinger og vækker følelser, når Sanne Salomonsen og Björn Skifs mødes på scenen og fortolker en række velkendte numre. Bl.a. Bee Gees-klassikeren 'How Deep Is Your Love' - og Björn Skifs sætter sig også til klaveret o | tipo DRTV: program | coleção: Gensyn: 1970'erne - Se programmer fra DR's arkiv her | categorias: underholdning, musik, gensyn, dr gensyn | palavras-chave: person_sanne salomonsen, thesaurus_rock, editorialptaxtop_gensyn, editorialptaxsub_musik, culturalorigin_dansk | ano: 1978 | duração: 37:27 | país de produção: DANMARK | georrestrição declarada: False | oferta DRTV: availability=ComingSoon; ownership=None; delivery=None; resolution=Unknown | regime de acesso: streaming com login/cadastro ou oferta não livre no nível do programa/episódio | ficha pública DRTV/Gensyn coletada por API pública; mídia não baixada",1978-05-03T17:59:46.7200000Z
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,DRTV/Gensyn,https://www.dr.dk/drtv/program/huset-paa-christianshavn-_-der-var-engang-et-hus_558373,Huset på Christianshavn - Der var engang et hus,Gensyn: 1970'erne - Se programmer fra DR's arkiv her; underholdning; humor; gensyn; dr gensyn; thesaurus_tv-programmer; controlled_huset på christianshavn; controlled_tv-historie; editorialptaxtop_gensyn; editorialptaxsub_underholdning,"Dansk underholdningsprogram fra 1977. Der bliver taget ordentlig afsked med de kendte beboere i en helt særlig opgang på Christianshavn, som gennem syv år har været en del af danskernes bevidsthed. Med værten Jørgen Ifversen i spidsen er der interview med | tipo DRTV: program | coleção: Gensyn: 1970'erne - Se programmer fra DR's arkiv her | categorias: underholdning, humor, gensyn, dr gensyn | palavras-chave: thesaurus_tv-programmer, controlled_huset på christianshavn, controlled_tv-historie, editorialptaxtop_gensyn, editorialptaxsub_underholdning, culturalorigin_dansk | ano: 1977 | duração: 01:39:32 | país de produção: DANMARK | georrestrição declarada: False | oferta DRTV: availability=ComingSoon; ownership=None; delivery=None; resolution=Unknown | regime de acesso: streaming com login/cadastro ou oferta não livre no nível do programa/episódio | ficha pública DRTV/Gensyn coletada por API pública; mídia não baixada",1977-12-31T13:21:17.4400000Z
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,DRTV/Gensyn,https://www.dr.dk/drtv/program/piet-hein-_-og-hans-verden_535920,Piet Hein - og hans verden,Gensyn: Kultur - Se kulturprogrammer fra DR's arkiv her; kultur; gensyn; dr gensyn; person_piet hein; thesaurus_møbeldesign; editorialptaxtop_gensyn; editorialptaxsub_design/arkitektur; culturalorigin_dansk,"Dansk dokumentar fra 1977. Opfinderen, forfatteren, tegneren og designeren Piet Hein kommer i dette portrætprogram ind på sine tusinder af Gruk-digte, tilblivelsen af den berømte superellipse og sit bekendtskab med Charlie Chaplin. Den verdensberømte dans | tipo DRTV: program | coleção: Gensyn: Kultur - Se kulturprogrammer fra DR's arkiv her | categorias: kultur, gensyn, dr gensyn | palavras-chave: person_piet hein, thesaurus_møbeldesign, editorialptaxtop_gensyn, editorialptaxsub_design/arkitektur, culturalorigin_dansk | ano: 1977 | duração: 30:56 | país de produção: DANMARK | georrestrição declarada: False | oferta DRTV: availability=ComingSoon; ownership=None; delivery=None; resolution=Unknown | regime de acesso: streaming com login/cadastro ou oferta não livre no nível do programa/episódio | ficha pública DRTV/Gensyn coletada por API pública; mídia não baixada",1977-12-29T00:00:00.0000000Z
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,DRTV/Gensyn,https://www.dr.dk/drtv/program/roede-mor-rockcirkus_-hjemlig-hygge_591281,Røde Mor Rockcirkus: Hjemlig hygge,Gensyn: 1970'erne - Se programmer fra DR's arkiv her; underholdning; gensyn; dr gensyn; editorialptaxtop_gensyn; editorialptaxsub_underholdning; culturalorigin_dansk,"Dansk underholdning fra 1977. Med Troels Trier og makkerparret Erik Clausen & Leif Sylvester Petersen i spidsen præsenterer Røde Mor Rockcirkus rockrevyen Hjemlig hygge - med sketches og sange om en dansk families oplevelser i medgang og modgang. Emnerne | tipo DRTV: program | coleção: Gensyn: 1970'erne - Se programmer fra DR's arkiv her | categorias: underholdning, gensyn, dr gensyn | palavras-chave: editorialptaxtop_gensyn, editorialptaxsub_underholdning, culturalorigin_dansk | ano: 1977 | duração: 49:28 | país de produção: DANMARK | georrestrição declarada: False | oferta DRTV: availability=ComingSoon; ownership=None; delivery=None; resolution=Unknown | regime de acesso: streaming com login/cadastro ou oferta não livre no nível do programa/episódio | ficha pública DRTV/Gensyn coletada por API pública; mídia não baixada",1977-12-19T00:00:00.0000000Z
