tema,pais,total
"Memória política, trabalho e conflito social",Spain,3
"Mídia, censura e esfera pública",Spain,3
"Migração, cidade e memória social",Spain,2
"Ficção, ensaio e cinema experimental",Spain,1
"Trabalho, campo e território",Spain,1
