tema,plataforma,total
Arquivo televisivo público,ERT Archive,23196
"Cinejornal, notícias e atualidades",ERT Archive,2658
Documentário e registro histórico,ERT Archive,2593
"Cultura, artes e memória pública",ERT Archive,7
Esporte e cultura física,ERT Archive,2
