tema,tipo_institucional,total
História e pesquisa,National archival aggregator,37
Acervo e patrimônio,National archival aggregator,24
Digitalização e acesso,National archival aggregator,17
Divulgação de serviços e projetos,National archival aggregator,6
Comunicação institucional,National archival aggregator,4
Música e performance,National archival aggregator,2
Visita e descoberta do arquivo,National archival aggregator,2
Apresentação institucional,National archival aggregator,1
Exposições e eventos,National archival aggregator,1
