tema,total
Registro audiovisual de acervo televisivo,354
"Cotidiano, território e sociedade",135
Programação televisiva e memória da mídia,95
"Vida pública, política e história",94
"Artes, cultura e entretenimento",41
"Tecnologia, ciência e inovação",40
Esporte e cultura física,36
Música e cultura popular,22
