tema,pais,total
Divulgação de serviços e projetos,Poland,1032
Comunicação institucional,Poland,841
História e pesquisa,Poland,515
Música e performance,Poland,115
"Memória, narrativa e testemunho",Poland,78
Apresentação institucional,Poland,65
Digitalização e acesso,Poland,40
Formação e mediação,Poland,35
Exposições e eventos,Poland,24
Visita e descoberta do arquivo,Poland,12
Preservação e conservação,Poland,9
