tema,tipo_institucional,total
"Documentário, cotidiano e memória cultural",Film archive and museum with public curatorial streaming program,4
"Cinema, identidade e memória cultural",Film archive and museum with public curatorial streaming program,3
Patrimônio cinematográfico e cinefilia,Film archive and museum with public curatorial streaming program,2
