tema,plataforma,total
Memória audiovisual militar e institucional,ECPAD Archives,16088
"Conflitos, defesa e operações militares",ECPAD Archives,7307
"Tecnologia, armamentos e infraestrutura militar",ECPAD Archives,4363
"Memória militar, cerimônias e comemorações",ECPAD Archives,3714
"Treinamento, doutrina e vida militar",ECPAD Archives,3625
"Fundos cinematográficos, memória privada e colonial",ECPAD Archives,929
