tema,plataforma,total
"Memória política, trabalho e conflito social",PLATFO FILMO,3
"Mídia, censura e esfera pública",PLATFO FILMO,3
"Migração, cidade e memória social",PLATFO FILMO,2
"Ficção, ensaio e cinema experimental",PLATFO FILMO,1
"Trabalho, campo e território",PLATFO FILMO,1
