dataset,observation_key,snapshot_generated_at,source_status_date,raw_outputs_last_modified_at,analytic_outputs_last_modified_at,generated_by,institutions,institutions_with_website,institutions_with_video_links,video_links_total,videos_in_curatorial_catalog,visibility_categories,theme_categories,archive_type_categories,platforms_detected,countries_with_videos
bnt,bnt:2026-06-12T19:36:51Z,2026-06-12T19:36:51Z,,2026-06-12T19:36:51Z,2026-06-12T19:36:51Z,scripts/run_bnt_pipeline.py,1,1,1,45,45,1,2,1,1,1
bnt,bnt:2026-06-12T19:39:42Z,2026-06-12T19:39:42Z,,2026-06-12T19:39:42Z,2026-06-12T19:39:42Z,scripts/run_bnt_pipeline.py,1,1,1,45,45,1,4,1,1,1
bnt,bnt:2026-06-12T19:46:31Z,2026-06-12T19:46:31Z,,2026-06-12T19:46:31Z,2026-06-12T19:46:31Z,scripts/run_bnt_pipeline.py,1,1,1,45,45,1,4,1,1,1
bnt,bnt:2026-06-12T19:51:02Z,2026-06-12T19:51:02Z,,2026-06-12T19:51:02Z,2026-06-12T19:51:02Z,scripts/run_bnt_pipeline.py,1,1,1,45,45,1,5,1,1,1
bnt,bnt:2026-06-12T20:02:17Z,2026-06-12T20:02:17Z,,2026-06-12T20:02:17Z,2026-06-12T20:02:17Z,scripts/run_bnt_pipeline.py,1,1,1,45,45,1,5,1,1,1
