tema,tipo_institucional,total
"Vida pública, política e história",Historical film and audiovisual archive,31
"Território, cidade e patrimônio",Historical film and audiovisual archive,18
Registro audiovisual em arquivo fílmico,Historical film and audiovisual archive,4
Ficção cinematográfica,Historical film and audiovisual archive,3
"Educação, ciência e natureza",Historical film and audiovisual archive,2
Documentário e registro histórico,Historical film and audiovisual archive,1
