tema,tipo_institucional,total
Ficção cinematográfica,Film archive with public restored-film streaming subset and larger restricted catalogue,45
"Festas, cultura popular e memória local",Film archive with public restored-film streaming subset and larger restricted catalogue,10
"Trabalho, indústria e território",Film archive with public restored-film streaming subset and larger restricted catalogue,6
"Vida pública, política e história",Film archive with public restored-film streaming subset and larger restricted catalogue,5
Cinema doméstico e memória familiar,Film archive with public restored-film streaming subset and larger restricted catalogue,4
