tema,plataforma,total
"Reconstrução econômica, infraestrutura e trabalho",DHM Zeughauskino online,12
Plano Marshall e memória audiovisual europeia,DHM Zeughauskino online,10
Filmes educativos e publicidade institucional,DHM Zeughauskino online,6
"História, reconstrução e memória política",DHM Zeughauskino online,6
