tema,total
Comunicação institucional,60
Música e performance,23
Divulgação de serviços e projetos,12
Exposições e eventos,10
Visita e descoberta do arquivo,6
"Memória, narrativa e testemunho",6
História e pesquisa,6
Coleções e serviços,5
Formação e mediação,3
Apresentação institucional,2
