institution,slug,country,continent,repository_code,archive_type,europeana_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at,video_title_display,video_date_display,video_theme,access_surface
Europeana,europeana,Sweden,Europe,EU-EUROPEANA,European cultural aggregator with audiovisual records,https://www.europeana.eu/,True,True,Museum of Ethnography,Europeana,https://www.europeana.eu/en/item/91660/SMVK_EM_video_3938240,"- video -, video",video,tipo Europeana: - video -; provedor: Museum of Ethnography; direitos:,,"- video -, video",,Comunicação institucional,Agregador cultural europeu com recorte audiovisual
Europeana,europeana,Sweden,Europe,EU-EUROPEANA,European cultural aggregator with audiovisual records,https://www.europeana.eu/,True,True,Museum of Ethnography,Europeana,https://www.europeana.eu/en/item/91660/SMVK_EM_video_3938247,"- video -, video",video,tipo Europeana: - video -; provedor: Museum of Ethnography; direitos:,,"- video -, video",,Comunicação institucional,Agregador cultural europeu com recorte audiovisual
Europeana,europeana,Sweden,Europe,EU-EUROPEANA,European cultural aggregator with audiovisual records,https://www.europeana.eu/,True,True,Museum of Ethnography,Europeana,https://www.europeana.eu/en/item/91660/SMVK_EM_video_3938244,"- video -, video",video,tipo Europeana: - video -; provedor: Museum of Ethnography; direitos:,,"- video -, video",,Comunicação institucional,Agregador cultural europeu com recorte audiovisual
Europeana,europeana,Sweden,Europe,EU-EUROPEANA,European cultural aggregator with audiovisual records,https://www.europeana.eu/,True,True,Museum of Ethnography,Europeana,https://www.europeana.eu/en/item/91660/SMVK_EM_video_4517316,"- video -, video, film",video,tipo Europeana: - video -; provedor: Museum of Ethnography; direitos:,,"- video -, video, film",,Comunicação institucional,Agregador cultural europeu com recorte audiovisual
Europeana,europeana,France,Europe,EU-EUROPEANA,European cultural aggregator with audiovisual records,https://www.europeana.eu/,True,True,National Audiovisual Institute France,Europeana,https://www.europeana.eu/en/item/2051908/data_euscreenXL_ina_CAB86026266,Audiovisual.,audiovisual,tipo Europeana: Journal télévisé; provedor: National Audiovisual Institute France; direitos: Copyright : Institut national de l'audiovisuel (www.ina.fr). All rights reserved.,,Audiovisual.,,Comunicação institucional,Agregador cultural europeu com recorte audiovisual
Europeana,europeana,Netherlands,Europe,EU-EUROPEANA,European cultural aggregator with audiovisual records,https://www.europeana.eu/,True,True,Open Access Publishing in European Networks Foundation,Europeana,https://www.europeana.eu/en/item/9200235/download_type_document_docid_474170,China's iGeneration - Cinema and Moving Image Culture for the Twenty-First Century,moving image,tipo Europeana: ; provedor: Open Access Publishing in European Networks Foundation; direitos:,,China's iGeneration - Cinema and Moving Image Culture for the Twenty-First Century,,Digitalização e acesso,Agregador cultural europeu com recorte audiovisual
Europeana,europeana,Germany,Europe,EU-EUROPEANA,European cultural aggregator with audiovisual records,https://www.europeana.eu/,True,True,German National Library,Europeana,https://www.europeana.eu/en/item/2048441/item_MB7LCHUV7JCXUVZWRNTWUM2CEXBTLAZ3,Computational Audiovisual Scene Analysis,audiovisual,tipo Europeana: Monograph; provedor: German National Library; direitos:,,Computational Audiovisual Scene Analysis,,Coleções e serviços,Agregador cultural europeu com recorte audiovisual
Europeana,europeana,Spain,Europe,EU-EUROPEANA,European cultural aggregator with audiovisual records,https://www.europeana.eu/,True,True,Andalusian Centre of Contemporary Art,Europeana,https://www.europeana.eu/en/item/2022703/pages_Main_idt_125384_inventary_D0142_table_FMUS_museum_CAACSE,El tenista - Audiovisual,audiovisual,tipo Europeana: Audiovisual; provedor: Andalusian Centre of Contemporary Art; direitos:,,El tenista - Audiovisual,,Comunicação institucional,Agregador cultural europeu com recorte audiovisual
Europeana,europeana,Poland,Europe,EU-EUROPEANA,European cultural aggregator with audiovisual records,https://www.europeana.eu/,True,True,Polish National Film Archive,Europeana,https://www.europeana.eu/en/item/08609/1_F_398_20_931x,Moving,moving image,tipo Europeana: film stills; provedor: Polish National Film Archive; direitos: Filmoteka Narodowa,,Moving,,Coleções e serviços,Agregador cultural europeu com recorte audiovisual
Europeana,europeana,Spain,Europe,EU-EUROPEANA,European cultural aggregator with audiovisual records,https://www.europeana.eu/,True,True,Andalusian Centre of Contemporary Art,Europeana,https://www.europeana.eu/en/item/2022703/pages_Main_idt_125401_inventary_D0151_table_FMUS_museum_CAACSE,Technoaceitunas - Audiovisual,audiovisual,tipo Europeana: Audiovisual; provedor: Andalusian Centre of Contemporary Art; direitos:,,Technoaceitunas - Audiovisual,,Comunicação institucional,Agregador cultural europeu com recorte audiovisual
