tema,plataforma,total
Documentário e registro histórico,Memobase LOD API,112
Ficção cinematográfica,Memobase LOD API,85
Registro audiovisual em catálogo,Memobase LOD API,52
Animação,Memobase LOD API,48
Cinejornal e atualidades,Memobase LOD API,1
