tema,pais,total
"Vida pública, política e história",Italy,31
"Território, cidade e patrimônio",Italy,18
Registro audiovisual em arquivo fílmico,Italy,4
Ficção cinematográfica,Italy,3
"Educação, ciência e natureza",Italy,2
Documentário e registro histórico,Italy,1
