tema,pais,total
História e pesquisa,Spain,220
Comunicação institucional,Spain,41
Exposições e eventos,Spain,21
Preservação e conservação,Spain,19
Digitalização e acesso,Spain,16
Música e performance,Spain,15
Divulgação de serviços e projetos,Spain,5
Formação e mediação,Spain,3
Acervo e patrimônio,Spain,2
Apresentação institucional,Spain,2
