dataset,observation_key,snapshot_generated_at,source_status_date,generated_by,institution,slug,repository_code,country,continent,archive_type,website_available,partner_site,partner_domain,status,http_code,integrity_status,availability_group,audiovisual_visibility,access_regime,video_links_found_total,embedded_video_signals_total,candidate_internal_pages,final_url
filmoteca_valenciana,filmoteca_valenciana:2026-07-16T19:57:29Z,2026-07-16T19:57:29Z,,scripts/run_filmoteca_valenciana_pipeline.py,Filmoteca Valenciana,filmoteca-valenciana,ES-VC-FILMOTECA-VALENCIANA,Spain,Europe,Film archive with public restored-film streaming subset and larger restricted catalogue,True,https://www.restauracionesfilmoteca.com/,restauracionesfilmoteca.com,ok,200,integro,Disponível,Evidência pública detectável de audiovisual,Acesso por plataforma externa,70,70,78,https://www.restauracionesfilmoteca.com/inicio/
filmoteca_valenciana,filmoteca_valenciana:2026-07-16T20:00:49Z,2026-07-16T20:00:49Z,,scripts/run_filmoteca_valenciana_pipeline.py,Filmoteca Valenciana,filmoteca-valenciana,ES-VC-FILMOTECA-VALENCIANA,Spain,Europe,Film archive with public restored-film streaming subset and larger restricted catalogue,True,https://www.restauracionesfilmoteca.com/,restauracionesfilmoteca.com,ok,200,integro,Disponível,Evidência pública detectável de audiovisual,Acesso por plataforma externa,70,70,78,https://www.restauracionesfilmoteca.com/inicio/
