tema,tipo_institucional,total
Arquivo televisivo público,Public service broadcaster audiovisual archive,23196
"Cinejornal, notícias e atualidades",Public service broadcaster audiovisual archive,2658
Documentário e registro histórico,Public service broadcaster audiovisual archive,2593
"Cultura, artes e memória pública",Public service broadcaster audiovisual archive,7
Esporte e cultura física,Public service broadcaster audiovisual archive,2
