tema,pais,total
Ficção cinematográfica,Spain,45
"Festas, cultura popular e memória local",Spain,10
"Trabalho, indústria e território",Spain,6
"Vida pública, política e história",Spain,5
Cinema doméstico e memória familiar,Spain,4
