institution,slug,country,continent,repository_code,archive_type,ppa_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Portal Português de Arquivos,portal-portugues-arquivos,Portugal,Europe,PT-PPA,National archival aggregator,https://portal.arquivos.pt/,True,True,https://portal.arquivos.pt/,https://portal.arquivos.pt/search?q=audiovisual,ok,200,25,17,Busca pública no PPA pelo termo: audiovisual.,
Portal Português de Arquivos,portal-portugues-arquivos,Portugal,Europe,PT-PPA,National archival aggregator,https://portal.arquivos.pt/,True,True,https://portal.arquivos.pt/,https://portal.arquivos.pt/search?q=video,ok,200,25,14,Busca pública no PPA pelo termo: video.,
Portal Português de Arquivos,portal-portugues-arquivos,Portugal,Europe,PT-PPA,National archival aggregator,https://portal.arquivos.pt/,True,True,https://portal.arquivos.pt/,https://portal.arquivos.pt/search?q=v%C3%ADdeo,ok,200,25,24,Busca pública no PPA pelo termo: vídeo.,
Portal Português de Arquivos,portal-portugues-arquivos,Portugal,Europe,PT-PPA,National archival aggregator,https://portal.arquivos.pt/,True,True,https://portal.arquivos.pt/,https://portal.arquivos.pt/search?q=filme,ok,200,25,25,Busca pública no PPA pelo termo: filme.,
