tema,pais,total
Arquivo televisivo público,Greece,23196
"Cinejornal, notícias e atualidades",Greece,2658
Documentário e registro histórico,Greece,2593
"Cultura, artes e memória pública",Greece,7
Esporte e cultura física,Greece,2
