tema,plataforma,total
Documentário e registro histórico,European Film Gateway,48
Registro audiovisual em catálogo,European Film Gateway,47
Cinejornal e atualidades,European Film Gateway,40
Ficção cinematográfica,European Film Gateway,5
Animação,European Film Gateway,1
