tema,plataforma,total
"Vida pública, política e história",Archivio Luce,31
"Território, cidade e patrimônio",Archivio Luce,18
Registro audiovisual em arquivo fílmico,Archivio Luce,4
Ficção cinematográfica,Archivio Luce,3
"Educação, ciência e natureza",Archivio Luce,2
Documentário e registro histórico,Archivio Luce,1
