tema,pais,total
"Documentário, cotidiano e memória local",United Kingdom,385
"Vida pública, política e história",United Kingdom,255
Ficção cinematográfica,United Kingdom,35
Registro audiovisual em arquivo fílmico,United Kingdom,8
Publicidade e comunicação pública,United Kingdom,7
"Artes, música e experimentação",United Kingdom,6
Animação,United Kingdom,4
"Entrevista, debate e memória cinematográfica",United Kingdom,1
Esporte e cultura física,United Kingdom,1
