tema,tipo_institucional,total
Infraestrutura urbana e serviços públicos,Institutional audiovisual archive,4
"Trabalho, indústria e ofícios",Institutional audiovisual archive,3
"Território, cidade e infraestrutura",Institutional audiovisual archive,1
