tema,pais,total
"Reconstrução econômica, infraestrutura e trabalho",Germany,12
Plano Marshall e memória audiovisual europeia,Germany,10
Filmes educativos e publicidade institucional,Germany,6
"História, reconstrução e memória política",Germany,6
